High Ground  10E-20  ONE MOM LTR CMM WOE
Prosper, Tome-Bound  AFC-2  MBTWRM
Grim Hireling  AFC-25  MBTWRM
Klauth, Unrivaled Ancient  AFC-50  MBTWRM
Bucknard's Everfull Purse  AFC-57  CLB DMU BRO ONE
Component Pouch  AFC-59  CLB DMU BRO ONE
Underdark Rift  AFC-62  CLB DMU BRO ONE
Kenrith's Transformation  AFC-162  MBTWGREEN
Argentum Armor  AFC-198  ONE MOM LTR CMM
Viridian Longbow  AFC-221  MBTWLMC
Desert  AFC-233  DMU BRO ONE MOM LTR MBTWLMC
Cleric Class  AFR-6  MBTWWHITE
Dawnbringer Cleric  AFR-9  MBTWWHITE
Moon-Blessed Cleric  AFR-26  MBTWWHITE
Plate Armor  AFR-32  MBTWWHITE
Portable Hole  AFR-33  MBTWWHITE
You Hear Something on Watch  AFR-42  MBTWWHITE
Tasha's Hideous Laughter  AFR-78  MBTWRM
Wizard Class  AFR-81  CLB DMU BRO ONE MBTWBLUE
Deadly Dispute  AFR-94  LCI MBTWBLACK
Feign Death  AFR-103  MBTWBLACK
Grim Bounty  AFR-106  MBTWBLACK
Lolth, Spider Queen  AFR-112  CLB DMU BRO ONE
Power Word Kill  AFR-114  MBTWBLACK
Reaper's Talisman  AFR-117  MBTWBLACK
Shambling Ghast  AFR-119  MBTWBLACK
Skullport Merchant  AFR-120  MBTWBLACK
Battle Cry Goblin  AFR-132  MBTWRED
Boots of Speed  AFR-133  MBTWRED
Chaos Channeler  AFR-136  MBTWRED
Hoarding Ogre  AFR-146  MBTWRED
Magic Missile  AFR-154  CLB DMU BRO ONE
Plundering Barbarian  AFR-158  MBTWRED
Rust Monster  AFR-161  WOE LCI
Swarming Goblins  AFR-162  MBTWRED
Unexpected Windfall  AFR-164  MBTWRED
Xorn  AFR-167  LCI
You Find Some Prisoners  AFR-169  MBTWRED
Hunter's Mark  AFR-188  MBTWGREEN
Old Gnawbone  AFR-197  CLB DMU BRO ONE
Prosperous Innkeeper  AFR-200  MBTWGREEN
The Tarrasque  AFR-207  LCI
Bruenor Battlehammer  AFR-219  CMM WOE LCI
Minsc, Beloved Ranger  AFR-227  CLB DMU BRO ONE
Tiamat  AFR-235  CLB DMU BRO ONE
Fifty Feet of Rope  AFR-244  CLB DMU BRO ONE
Leather Armor  AFR-248  CLB DMU BRO ONE
Cave of the Frost Dragon  AFR-253  LCI
Treasure Vault  AFR-261  LCI
Cloister Gargoyle  AFR-302  MID VOW NEO
Dire Wolf Prowler  AFR-325  MID VOW NEO
Krydle of Baldur's Gate  AFR-343  CLB DMU BRO ONE
Mimic  AFR-349  CLB DMU BRO ONE
Anointed Procession  AKH-2  NEO SNC CLB DMU
Anointer Priest  AKH-3  ZNR KHM STX
Approach of the Second Sun  AKH-4  RARE
Cartouche of Solidarity  AKH-7  WHITEB
Cast Out  AKH-8  WHITEB
Djeru's Resolve  AKH-11  WHITEB
Forsake the Worldly  AKH-13  WHITEB
Gust Walker  AKH-17  WHITEA
Regal Caracal  AKH-24  ZNR KHM STX
Rhet-Crop Spearmaster  AKH-26  WHITEA
Sacred Cat  AKH-27  WHITEB
Seraph of the Suns  AKH-28  WHITEB
Sparring Mummy  AKH-29  WHITEA
Unwavering Initiate  AKH-36  WHITEB
Vizier of Remedies  AKH-38  MBTWWHITE
Winged Shepherd  AKH-39  WHITEA
Cartouche of Knowledge  AKH-45  BLUEB
Compelling Argument  AKH-47  BLUEA
Decision Paralysis  AKH-50  BLUEA
Hieroglyphic Illumination  AKH-57  BLUEB
Labyrinth Guardian  AKH-60  BLUEA
Lay Claim  AKH-61  BLUEB
River Serpent  AKH-66  BLUEB
Shimmerscale Drake  AKH-70  BLUEB
Slither Blade  AKH-71  BLUEA
Baleful Ammit  AKH-79  BLACKB
Blighted Bat  AKH-80  BLACKA
Cartouche of Ambition  AKH-83  MBTWBLACK
Cursed Minotaur  AKH-85  BLACKB
Doomed Dissenter  AKH-87  BLACKA
Dune Beetle  AKH-89  BLACKA
Grim Strider  AKH-94  LTR CMM WOE LCI
Liliana, Death's Majesty  AKH-97  RARE
Lord of the Accursed  AKH-99  BLACKB
Miasmic Mummy  AKH-100  BLACKA
Painful Lesson  AKH-102  BLACKB
Scarab Feast  AKH-106  BLACKB
Stir the Sands  AKH-110  MBTWBLACK
Trespasser's Curse  AKH-112  BLACKB
Trial of Ambition  AKH-113  BLACKB
Unburden  AKH-114  BLACKB
Wander in Death  AKH-115  BLACKB
Ahn-Crop Crasher  AKH-117  REDB
Blazing Volley  AKH-119  REDA
Bloodlust Inciter  AKH-120  REDA
By Force  AKH-123  MBTWRED
Cartouche of Zeal  AKH-124  REDB
Desert Cerodon  AKH-128  REDB
Fling  AKH-132  REDB
Hazoret the Fervent  AKH-136  MBTWRM
Hyena Pack  AKH-139  REDA
Magma Spray  AKH-141  REDB
Nimble-Blade Khenra  AKH-145  REDB
Thresher Lizard  AKH-150  REDB
Bitterblade Warrior  AKH-157  GREENB
Cartouche of Strength  AKH-158  MBTWGREEN
Dissenter's Deliverance  AKH-164  GREENB
Giant Spider  AKH-166  GREENB
Gift of Paradise  AKH-167  GREENB
Greater Sandwurm  AKH-168  GREENA
Hooded Brawler  AKH-173  GREENA
Manglehorn  AKH-175  GREENB
Pouncing Cheetah  AKH-179  GREENB
Stinging Shot  AKH-189  MBTWGREEN
Commit  AKH-211a  RARE
Insult  AKH-213a  MBTWRM
Reduce  AKH-216a  MOM LTR CMM WOE
Cut  AKH-223a  ZNR KHM
Gate to the Afterlife  AKH-228  MID VOW NEO CLB
Rhonas's Monument  AKH-236  COLORLESS
Painted Bluffs  AKH-246  MBTWLMC
Knight-Captain of Eos  ALA-17  LTR CMM
Ranger of Eos  ALA-21  CLB DMU BRO MOM
Fatestitcher  ALA-43  MBTWBLUE
Mindlock Orb  ALA-51  LTR CMM
Corpse Connoisseur  ALA-68  MBTWBLACK
Puppet Conjurer  ALA-82  MBTWBLACK
Hell's Thunder  ALA-103  ZNR KHM STX MHTWO AFR
Drumhunter  ALA-129  MBTWGREEN
Wild Nacatl  ALA-152  OLDFRAME
Godsire  ALA-170  ZNR KHM STX MHTWO
Hellkite Overlord  ALA-172  AFR MID VOW NEO
Qasali Ambusher  ALA-184  MBTWLMC
Sedris, the Traitor King  ALA-193  MID VOW NEO CLB
Violent Ultimatum  ALA-206  OLDFRAME
Lich's Mirror  ALA-210  FOIL
Savage Lands  ALA-228  MBTWLMC
Seaside Citadel  ALA-229  MBTWLMC
Diversionary Tactics  APC-7  MBTWWHITE
Standard Bearer  APC-18  MBTWWHITE
Ice Cave  APC-24  KHM
Whirlpool Drake  APC-34  MBTWBLUE
Whirlpool Warrior  APC-36  DMU BRO MOM LTR
Desolation Angel  APC-38  KHM STX MHTWO AFR MID VOW
Necravolver  APC-46  ZNR KHM STX MHTWO AFR
Phyrexian Gargantua  APC-48  MBTWBLACK
Wild Research  APC-72  ZNR KHM STX MHTWO AFR
Ana Sanctuary  APC-74  OLDFRAME
Penumbra Kavu  APC-83  MBTWGREEN
Strength of Night  APC-86  MID VOW NEO CLB
Guided Passage  APC-105  OLDFRAME
Powerstone Minefield  APC-115  BRO MOM LTR CMM
Putrid Warrior  APC-117  MKM2
Quicksilver Dagger  APC-118  MBTWLMC
Razorfin Hunter  APC-119  MBTWLMC
Squee's Embrace  APC-122  MBTWLMC
Temporal Spring  APC-125  MBTWLMC
Yavimaya's Embrace  APC-127  OLDFRAME
Illusion  APC-129a  NEO CLB DMU BRO
Night  APC-131a  MID VOW NEO CLB
Legacy Weapon  APC-137  DMU BRO MOM LTR
Ardent Plea  ARB-1  LCI
Filigree Angel  ARB-6  MHTWO AFR MID VOW NEO
Meddling Mage  ARB-8  OLDFRAME
Wall of Denial  ARB-16  DMU BRO ONE MOM LTR MBTWLMC
Architects of Will  ARB-17  NEO CLB DMU BRO
Deny Reality  ARB-19  NEO CLB DMU BRO
Lich Lord of Unx  ARB-24  MID VOW NEO CLB
Nemesis of Reason  ARB-28  OLDFRAME
Time Sieve  ARB-31  OLDFRAME
Dragon Broodmother  ARB-53  OLDFRAME
Enlisted Wurm  ARB-68  MKM2
Grizzled Leotau  ARB-69  MBTWLMC
Spellbound Dragon  ARB-90  STX MHTWO AFR MID VOW
Sen Triplets  ARB-109  FOIL
Karrthus, Tyrant of Jund  ARB-117  FOIL
Wargate  ARB-129  OLDFRAME
Maelstrom Nexus  ARB-130  ZNR KHM STX MHTWO AFR FOIL
Thopter Foundry  ARB-133  BRO ONE MOM LTR
Spin into Myth  ARC-8  MBTWBLUE
Ryusei, the Falling Star  ARC-45  CMM
Llanowar Reborn  ARC-129  ZNR KHM STX MHTWO AFR
Banishing Stroke  AVR-7  MBTWWHITE
Goldnight Commander  AVR-22  MBTWWHITE
Nearheath Pilgrim  AVR-31  MBTWWHITE
Seraph of Dawn  AVR-35  MBTWWHITE
Misthollow Griffin  AVR-68  FOIL
Dual Casting  AVR-133  STX MHTWO AFR MID VOW
Lightning Mauler  AVR-144  MBTWRED
Malignus  AVR-148  MID VOW NEO CLB
Reforge the Soul  AVR-151  LTR CMM
Druid's Familiar  AVR-175  MBTWGREEN
Nightshade Peddler  AVR-187  ZNR KHM STX MHTWO AFR
Sheltering Word  AVR-192  MBTWGREEN
Wolfir Silverheart  AVR-206  MID VOW NEO CLB
Gisela, Blade of Goldnight  AVR-209  STX MHTWO AFR MID VOW
Alchemist's Refuge  AVR-225  FOIL
Cavern of Souls  AVR-226  KHM STX MHTWO AFR MID VOW
Will Kenrith  BBD-1  STX
Rowan Kenrith  BBD-2  STX
Virtus the Veiled  BBD-7  ZNR
Gorm the Great  BBD-8  ZNR
Brightling  BBD-25  MBTWRM
Jubilant Mascot  BBD-28  STX MHTWO WHITEB
Fumble  BBD-34  MBTWBLUE
Game Plan  BBD-35  ONE MOM LTR CMM
Azra Bladeseeker  BBD-55  REDA
Bonus Round  BBD-56  MBTWRM
Cheering Fanatic  BBD-58  MBTWRED
Combo Attack  BBD-67  GREENB
The Crowd Goes Wild  BBD-68  GREENB
Grothama, All-Devouring  BBD-71  MBTWRM
Jungle Wayfinder  BBD-72  GREENA
Pir's Whim  BBD-73  VOW NEO SNC CLB DMU
Azra Oddsmaker  BBD-75  MULTICOLOR
Sea of Clouds  BBD-84  MOM LTR CMM WOE
Angelic Gift  BBD-88  WHITEB
Battle Mastery  BBD-89  WHITEB
Expedition Raptor  BBD-92  WHITEB
Land Tax  BBD-94  ZNR KHM STX MHTWO
Lightwalker  BBD-95  WHITEB
Midnight Guard  BBD-99  WHITEB
Royal Trooper  BBD-104  WOE LCI
Shoulder to Shoulder  BBD-105  WHITEB
Silverchase Fox  BBD-106  WHITEB
Tandem Tactics  BBD-112  WHITEB
Benthic Giant  BBD-113  BLUEA
Call to Heel  BBD-114  BLUEA
Coralhelm Guide  BBD-116  BLUEB
Fog Bank  BBD-117  BLUEB
Frost Lynx  BBD-118  BLUEB
Impulse  BBD-119  BLUEB
Mystic Confluence  BBD-122  RARE
Omenspeaker  BBD-125  BLUEB
Totally Lost  BBD-135  BLUEB
Watercourser  BBD-137  BLUEA
Fill with Fright  BBD-144  BLACKB
Grotesque Mutation  BBD-145  BLACKB
Painful Lesson  BBD-154  STX MHTWO AFR MID VOW
Quest for the Gravelord  BBD-156  BLACKB
Tavern Swindler  BBD-162  BLACKB
Battle Rampart  BBD-165  REDB
Dragon Breath  BBD-172  REDB
Earth Elemental  BBD-174  REDB
Enthralling Victor  BBD-176  REDB
Expedite  BBD-177  REDA
Flamewave Invoker  BBD-178  REDB
Lightning Talons  BBD-180  REDB
Beast Within  BBD-190  GREENB
Canopy Spider  BBD-191  GREENB
Charging Rhino  BBD-192  GREENB
Elvish Visionary  BBD-196  GREENB
Feral Hydra  BBD-197  MBTWGREEN
Giant Growth  BBD-200  GREENB
Kraul Warrior  BBD-204  GREENB
Lead by Example  BBD-205  GREENA
Return to the Earth  BBD-210  GREENB
Vigor  BBD-215  RARE
Kiss of the Amesha  BBD-225  MULTICOLOR
Riptide Crab  BBD-228  MULTICOLOR
Hexplate Golem  BBD-237  COLORLESS
Juggernaut  BBD-238  COLORLESS
Mycosynth Lattice  BBD-241  ONE MOM LTR CMM
Peace Strider  BBD-243  COLORLESS
Yotian Soldier  BBD-249  BRO ONE MOM LTR CMM WOE
Breaker of Armies  BFZ-3  COLORLESS
Desolation Twin  BFZ-6  RARE
Eldrazi Devastator  BFZ-7  COLORLESS
Angel of Renewal  BFZ-18  WHITEB
Cliffside Lookout  BFZ-20  WHITEA
Encircling Fissure  BFZ-23  WHITEB
Felidar Sovereign  BFZ-26  RARE
Gideon, Ally of Zendikar  BFZ-29  ZNR MBTWRM
Kor Bladewhirl  BFZ-34  WHITEB
Ondu Greathorn  BFZ-40  WHITEA
Retreat to Emeria  BFZ-44  WHITEB
Sheer Drop  BFZ-48  WHITEA
Stasis Snare  BFZ-50  MBTWWHITE
Stone Haven Medic  BFZ-51  WHITEA
Benthic Infiltrator  BFZ-55  COLORLESS
Eldrazi Skyspawner  BFZ-58  MBTWBLUE
Ruination Guide  BFZ-64  ZNR KHM
Brilliant Spectrum  BFZ-70  BLUEB
Clutch of Currents  BFZ-72  BLUEA
Dispel  BFZ-76  BLUEA
Part the Waterveil  BFZ-80  MBTWRM
Retreat to Coralhelm  BFZ-82  ZNR
Wave-Wing Elemental  BFZ-88  BLUEB
Demon's Grasp  BFZ-108  BLACKA
Kalastria Nightwatch  BFZ-115  BLACKA
Mire's Malice  BFZ-117  BLACKA
Nirkana Assassin  BFZ-118  BLACKA
Voracious Null  BFZ-125  BLACKA
Boiling Earth  BFZ-142  REDB
Goblin War Paint  BFZ-146  REDA
Makindi Sliderunner  BFZ-148  REDB
Ondu Champion  BFZ-149  REDA
Outnumber  BFZ-150  REDA
Rolling Thunder  BFZ-154  REDB
Valakut Invoker  BFZ-159  REDA
Valakut Predator  BFZ-160  REDA
Brood Monitor  BFZ-164  MBTWGREEN
Call the Scions  BFZ-165  COLORLESS
Broodhunter Wurm  BFZ-171  GREENA
Earthen Arms  BFZ-172  GREENB
Lifespring Druid  BFZ-177  GREENA
Murasa Ranger  BFZ-178  LTR CMM WOE LCI
Plated Crusher  BFZ-183  MBTWGREEN
Reclaiming Vines  BFZ-185  GREENB
Seek the Wilds  BFZ-189  GREENA
Sylvan Scrying  BFZ-192  GREENB
Tajuru Warcaller  BFZ-195  GREENB
Drana's Emissary  BFZ-210  MULTICOLOR
Omnath, Locus of Rage  BFZ-217  ZNR
Blighted Fen  BFZ-230  COLORLESS
Akroan Phalanx  BNG-2  MBTWWHITE
Spirit of the Labyrinth  BNG-27  NEO CLB DMU BRO MOM
Vanguard of Brimaz  BNG-29  ZNR KHM STX MHTWO AFR
Archetype of Finality  BNG-58  MBTWBLACK
Grisly Transformation  BNG-74  BRO ONE MOM LTR CMM
Archetype of Aggression  BNG-88  MID VOW NEO CLB
Archetype of Endurance  BNG-116  FOIL
Chromanticore  BNG-144  ZNR KHM
Karametra, God of Harvests  BNG-148  MID VOW NEO CLB
Phenax, God of Deception  BNG-152  MHTWO AFR MID VOW NEO
Empty-Shrine Kannushi  BOK-2  MBTWWHITE
Final Judgment  BOK-4  NEO CLB DMU BRO MOM
Genju of the Fields  BOK-5  MBTWWHITE
Hokori, Dust Drinker  BOK-7  MID VOW NEO CLB
Kami of False Hope  BOK-10  MBTWWHITE
Patron of the Moon  BOK-45  MID VOW NEO CLB FOIL
Shimmering Glasskite  BOK-51  MBTWBLUE
Toils of Night and Day  BOK-57  MID VOW NEO CLB
Blessing of Leeches  BOK-62  MBTWBLACK
Ink-Eyes, Servant of Oni  BOK-71  NEO CLB DMU BRO
Skullsnatcher  BOK-84  MBTWBLACK
Throat Slitter  BOK-88  CMM WOE LCI MBTWBLACK
Aura Barbs  BOK-94  WOE LCI
Blazing Shoal  BOK-96  NEO CLB DMU BRO MOM
In the Web of War  BOK-108  BRO MOM LTR CMM
Patron of the Akki  BOK-115  ZNR KHM STX MHTWO AFR
Sosuke's Summons  BOK-145  NEO CLB DMU BRO
Mirror Gallery  BOK-154  NEO CLB DMU BRO MOM
Shuko  BOK-159  MBTWLMC
Shuriken  BOK-160  ZNR KHM
That Which Was Taken  BOK-162  NEO CLB DMU
Umezawa's Jitte  BOK-163  NEO CLB DMU BRO MOM
Tendo Ice Bridge  BOK-165  NEO CLB DMU
Moment of Defiance  BRO-108  MBTWBLACK
Scrapwork Rager  BRO-123  MBTWBLACK
Bitter Reunion  BRO-127  MBTWRED
Giant Cindermaw  BRO-136  MBTWRED
Scrapwork Mutt  BRO-164  MBTWRED
Argothian Opportunist  BRO-167  MBTWGREEN
Blanchwood Prowler  BRO-172  MBTWGREEN
Bushwhack  BRO-174  MBTWGREEN
Gaea's Gift  BRO-182  MBTWGREEN
Haywire Mite  BRO-199  MBTWGREEN
Junkyard Genius  BRO-214  MBTWLMC
Archangel  C13-5  OLDFRAME
Arcane Melee  C13-29  LTR CMM
Echo Mage  C13-43  CMM
Raven Familiar  C13-55  AFR MID VOW NEO
True-Name Nemesis  C13-63  MOM LTR CMM
Curse of Shallow Graves  C13-71  MBTWBLACK
Phyrexian Delver  C13-86  MOM LTR CMM
Vile Requiem  C13-98  ONE MOM LTR CMM
Blood Rites  C13-101  VOW NEO CLB DMU
Witch Hunt  C13-133  MID VOW NEO CLB
Curse of Predation  C13-140  MBTWGREEN
Hua Tuo, Honored Physician  C13-149  ZNR KHM STX
Hunted Troll  C13-150  KHM
Night Soil  C13-158  MBTWGREEN
Primal Vigor  C13-162  ZNR KHM STX MHTWO AFR MID
Oloro, Ageless Ascetic  C13-203  ZNR KHM STX MHTWO AFR
Eye of Doom  C13-243  LTR CMM
Angel of the Dire Hour  C14-1  RARE
Nahiri, the Lithomancer  C14-10  ZNR
Teferi, Temporal Archmage  C14-19  RARE
Daretti, Scrap Savant  C14-33  RARE
Freyalise, Llanowar's Fury  C14-43  KHM STX MHTWO
Song of the Dryads  C14-47  ZNR KHM STX MHTWO AFR MID
Wolfcaller's Howl  C14-52  WOE LCI
Flamekin Village  C14-60  CMM WOE LCI
Celestial Crusader  C14-68  WHITEA
Gift of Estates  C14-73  WHITEA
Whitemane Lion  C14-96  CMM WOE LCI
Fathom Seer  C14-109  BLUEB
Rite of Replication  C14-122  MBTWRM
Shaper Parasite  C14-125  BLUEB
Grave Titan  C14-145  RARE
Gray Merchant of Asphodel  C14-146  BLACKB
Skeletal Scrying  C14-162  BLACKB
